transaction_id,account_id,transaction_date,amount,transaction_type,merchant,location,is_fraud,high_amount_flag,time_diff,rapid_txn_flag,prev_location,location_change_flag,fraud_flag,customer_id,balance,account_status,name,age,city,account_type,join_date
T0254,A001,2026-02-20 09:29:10,67022,Credit,Allen LLC,New Henry,1,True,,False,,False,True,C001,38773,Dormant,Anita Cooper,40,East Maria,Savings,2021-08-04
T0029,A001,2026-03-28 17:22:12,39365,Credit,Bryant and Sons,North Jennifer,0,False,3138782.0,False,New Henry,False,False,C001,38773,Dormant,Anita Cooper,40,East Maria,Savings,2021-08-04
T0134,A001,2026-04-17 18:57:17,70773,Debit,"Chang, Dunlap and Marshall",Daniellefort,1,True,1733705.0,False,North Jennifer,False,True,C001,38773,Dormant,Anita Cooper,40,East Maria,Savings,2021-08-04
T0786,A001,2026-04-20 22:03:27,42099,Debit,Sherman-Thomas,Lake Jennifershire,0,False,270370.0,False,Daniellefort,False,False,C001,38773,Dormant,Anita Cooper,40,East Maria,Savings,2021-08-04
T0546,A002,2026-03-04 17:26:07,26379,Debit,"Hansen, Young and Martin",West Sarah,0,False,,False,,False,False,C002,146245,Active,Kimberly Bailey,63,Port Lindaview,Current,2025-11-21
T0125,A002,2026-04-08 06:11:21,44009,Debit,West-Pitts,Kathleenport,0,False,2983514.0,False,West Sarah,False,False,C002,146245,Active,Kimberly Bailey,63,Port Lindaview,Current,2025-11-21
T0559,A003,2026-02-15 12:06:57,44415,Debit,West-Howard,Lake Kyle,0,False,,False,,False,False,C003,70948,Dormant,Tiffany Forbes,56,Heatherview,Current,2021-10-06
T0456,A003,2026-03-06 02:28:31,98499,Debit,Deleon Group,Michaelfurt,0,True,1606894.0,False,Lake Kyle,False,True,C003,70948,Dormant,Tiffany Forbes,56,Heatherview,Current,2021-10-06
T0024,A004,2026-01-10 23:15:05,12385,Credit,Allen LLC,Matthewburgh,0,False,,False,,False,False,C004,12333,Active,Joshua Larsen,51,Port Joel,Current,2021-10-08
T0025,A004,2026-02-15 04:57:36,42647,Credit,"Ford, Holland and Robinson",South Jamesmouth,0,False,3044551.0,False,Matthewburgh,False,False,C004,12333,Active,Joshua Larsen,51,Port Joel,Current,2021-10-08
